"filename", "language", "TypeScript React", "TypeScript", "SCSS", "JavaScript", "comment", "blank", "total"
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 16
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/setupTests.ts", "TypeScript", 0, 1, 0, 0, 4, 1, 6
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/styles/variable.scss", "SCSS", 0, 0, 22, 0, 10, 12, 44
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/widgets/header/HeaderWidget.tsx", "TypeScript React", 18, 0, 0, 0, 0, 2, 20
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/widgets/header/header-style.scss", "SCSS", 0, 0, 7, 0, 0, 3, 10
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/widgets/layout/AuthLayout.tsx", "TypeScript React", 12, 0, 0, 0, 0, 2, 14
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/widgets/layout/PlatformLayout.tsx", "TypeScript React", 42, 0, 0, 0, 0, 5, 47
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/widgets/layout/layout-style.scss", "SCSS", 0, 0, 46, 0, 0, 7, 53
"/Volumes/SSD2/developer/Projects/boss/web-simple-boss/src/widgets/layout/layout-type.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"Total", "-", 388, 163, 137, 165, 69, 154, 1076
